model_name          , imagenet_top1_acc(%) , param_size(M) , flops(G) ,rtx2080(ms), i9-7940X(ms) , i5-8600K(ms)
resnet50            , 76.15                , 25.5570       ,  4.1427  ,  4.6      ,  10.6        ,  14.9
resnet101           , 77.37                , 44.5492       ,  7.8788  ,           ,  20.1        ,  27.0 
resnet152           , 78.31                , 60.1928       , 11.6205  ,           ,  29.1        ,  38.8 
resnext50_32x4d     , 77.62                , 25.0289       ,  4.2972  ,  7.4      ,  12.7        ,  18.3
resnext101_32x8d    , 79.31                , 88.7913       , 16.5513  ,           ,  36.7        ,  57.1
densenet121         , 74.65                ,  7.9789       ,  2.9146  ,           ,  11.1        ,  12.0
densenet169         , 76.00                , 14.1495       ,  3.4577  ,           ,  14.7        ,  14.9
densenet201         , 77.20                , 20.0139       ,  4.4179  , 19.4      ,  19.0        ,  19.2
densenet161         , 77.65                , 28.6810       ,  7.8788  ,           ,  25.7        ,  33.2
inception_v3        , 77.45                , 27.1613       ,  5.7511  ,  8.8      ,  14.0        ,  19.7
inception_v4        , 80.062               , 42.6798       , 12.3502  , 14.4      ,  28.3        ,  40.5
inception_resnet_v2 , 80.170               , 55.8435       , 16.7525  , 23.9      ,  34.4        ,  44.0
xception            , 78.888               , 22.8560       ,  8.4635  ,  4.3      ,  23.1        ,  32.2 
squeezenet1_0       , 58.10                ,  1.2484       ,  1.0874  ,           ,   3.4        ,   3.1
squeezenet1_1       , 58.19                ,  1.2355       ,  0.5166  ,           ,   2.1        ,   1.6 
mobilenet_v2        , 71.88                ,  3.5049       ,  0.3349  ,  3.8      ,   2.6        ,   2.4
shufflenet_v2_x1_0  , 69.36                ,  2.2786       ,  0.1554  ,  5.1      ,   3.4        ,   2.5
shufflenet_v2_x0_5  , 61.3                 ,  1.3668       ,  0.0466  ,           ,   2.5        ,   1.6
efficientnet_b0     , 76.3                 ,  5.2885       ,  0.4147  ,  7.7      ,  16.3        ,  14.3
efficientnet_b1     , 78.8                 ,  7.7942       ,  0.6672  ,           ,  26.0        ,  22.6
efficientnet_b2     , 79.8                 ,  9.1100       ,  0.9195  ,           ,  29.6        ,  26.1
efficientnet_b3     , 81.1                 , 12.2332       ,  1.7197  ,           ,  49.4        ,  48.8
efficientnet_b4     , 82.6                 , 19.3416       ,  4.1808  , 15.2      ,  97.2        , 116.9
efficientnet_b5     , 83.3                 , 30.3898       ,  9.8868  , 18.7      , 189.7        , 246.8
